### Generated by the command:
### src/extract_conll.py en ./data ./splits -j statuses.json -ls tok:g sem:g
# newdoc id = p02/d0010
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = A girl is styling her hair
Zhou	Zhou	LIT
.	.	NIL

# newdoc id = p43/d2950
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I handed her her gloves.
I	I	PRO
handed	handed	EPS
her	her	PRO
her	her	HAS
gloves	gloves	CON
.	.	NIL

# newdoc id = p43/d2968
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I am Argentinean.
I	I	PRO
am	am	NOW
Argentinean	Argentinean	GPE
.	.	NIL

# newdoc id = p43/d3000
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Pskov is in the south of Russia.
Pskov	Pskov	GPE
is	is	ENS
in	in	REL
the	the	DEF
south	south	CON
of	of	REL
Russia	Russia	GPE
.	.	NIL

# newdoc id = p43/d3001
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Ken heard Tom.
Ken	Ken	PER
heard	heard	EPS
Tom	Tom	PER
.	.	NIL

# newdoc id = p43/d3010
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom opened the door and held it open for Mary.
Tom	Tom	PER
opened	opened	EPS
the	the	DEF
door	door	CON
and	and	COO
held	held	EPS
it	it	PRO
open	open	EXS
for	for	REL
Mary	Mary	PER
.	.	NIL

# newdoc id = p43/d3026
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom did a cartwheel.
Tom	Tom	PER
did	did	EPS
a	a	DIS
cartwheel	cartwheel	CON
.	.	NIL

# newdoc id = p43/d3144
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Those are not fish.
Those	Those	DST
are	are	ENS
not	not	NOT
fish	fish	CON
.	.	NIL

# newdoc id = p43/d3151
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The cat dug its claws into my hand.
The	The	DEF
cat	cat	CON
dug	dug	EPS
its	its	HAS
claws	claws	CON
into	into	REL
my	my	HAS
hand	hand	CON
.	.	NIL

# newdoc id = p43/d3154
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = A baby is sleeping in the cradle.
A	A	DIS
baby	baby	CON
is	is	NOW
sleeping	sleeping	EXG
in	in	REL
the	the	DEF
cradle	cradle	CON
.	.	NIL

# newdoc id = p43/d3167
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom's essay had many typos.
Tom	Tom	PER
's	's	HAS
essay	essay	CON
had	had	EPS
many	many	QUV
typos	typos	CON
.	.	NIL

# newdoc id = p43/d3199
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Don't hang out with Tom.
Do	Do	NOW
n't	n't	NOT
hang~out	hang~out	EXS
with	with	REL
Tom	Tom	PER
.	.	NIL

# newdoc id = p43/d3217
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Through which city does the Mississippi River pass?
Through	Through	REL
which	which	QUE
city	city	CON
does	does	NOW
the	the	DEF
Mississippi~River	Mississippi~River	GEO
pass	pass	EXS
?	?	QUE

# newdoc id = p43/d3229
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She bought two dozen eggs.
She	She	PRO
bought	bought	EPS
two~dozen	two~dozen	QUC
eggs	eggs	CON
.	.	NIL

# newdoc id = p43/d3275
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I will not eat ice cream.
I	I	PRO
will	will	FUT
not	not	NOT
eat	eat	EXS
ice~cream	ice~cream	CON
.	.	NIL

# newdoc id = p43/d3344
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She looked me in the eye.
She	She	PRO
looked	looked	EPS
me	me	PRO
in	in	REL
the	the	DEF
eye	eye	CON
.	.	NIL

# newdoc id = p43/d3365
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Mary is extremely beautiful.
Mary	Mary	PER
is	is	NOW
extremely	extremely	INT
beautiful	beautiful	IST
.	.	NIL

# newdoc id = p43/d3370
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I faxed a map to Tom.
I	I	PRO
faxed	faxed	EPS
a	a	DIS
map	map	CON
to	to	REL
Tom	Tom	PER
.	.	NIL

# newdoc id = p43/d3373
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Each year, twenty-seven million acres of the tropical rainforests are destroyed.
Each	Each	AND
year	year	CON
,	,	NIL
twenty-seven~million	twenty-seven~million	QUC
acres	acres	UOM
of	of	REL
the	the	DEF
tropical~rainforests	tropical~rainforests	CON
are	are	NOW
destroyed	destroyed	EXS
.	.	NIL

# newdoc id = p43/d3424
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I contacted Tom.
I	I	PRO
contacted	contacted	EPS
Tom	Tom	PER
.	.	NIL

# newdoc id = p43/d3511
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom tossed the ball to Mary.
Tom	Tom	PER
tossed	tossed	EPS
the	the	DEF
ball	ball	CON
to	to	REL
Mary	Mary	PER
.	.	NIL

# newdoc id = p44/d0223
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The kitchen lacks a dishwasher.
The	The	DEF
kitchen	kitchen	CON
lacks	lacks	ENS
a	a	DIS
dishwasher	dishwasher	CON
.	.	NIL

# newdoc id = p44/d0760
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Hugh assisted Mustang.
Hugh	Hugh	PER
assisted	assisted	EPS
Mustang	Mustang	ORG
.	.	NIL

# newdoc id = p44/d0783
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Maria knew neither his name nor his phone number.
Maria	Maria	PER
knew	knew	EPS
neither	neither	NOT
his	his	HAS
name	name	CON
nor	nor	NOT
his	his	HAS
phone~number	phone~number	CON
.	.	NIL

# newdoc id = p44/d0785
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He brought our TV set down to the cellar.
He	He	PRO
brought	brought	EPS
our	our	HAS
TV~set	TV~set	CON
down	down	REL
to	to	REL
the	the	DEF
cellar	cellar	CON
.	.	NIL

# newdoc id = p44/d0787
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Which car is your father's?
Which	Which	QUE
car	car	CON
is	is	ENS
your	your	HAS
father	father	ROL
's	's	HAS
?	?	QUE

# newdoc id = p44/d0821
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I put my coat on inside out.
I	I	PRO
put	put	EPS
my	my	HAS
coat	coat	CON
on	on	REL
inside~out	inside~out	IST
.	.	NIL

# newdoc id = p44/d0864
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = My room is on the fourth floor.
My	My	HAS
room	room	CON
is	is	ENS
on	on	REL
the	the	DEF
fourth	fourth	ORD
floor	floor	CON
.	.	NIL

# newdoc id = p44/d0868
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I ordered two hamburgers.
I	I	PRO
ordered	ordered	EPS
two	two	QUC
hamburgers	hamburgers	CON
.	.	NIL

# newdoc id = p44/d0886
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What is Mr. Johnson's first name?
What	What	QUE
is	is	ENS
Mr.	Mr.	ROL
Johnson	Johnson	PER
's	's	HAS
first~name	first~name	CON
?	?	QUE

# newdoc id = p44/d0911
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Some of the books that he has are English novels.
Some	Some	DIS
of	of	REL
the	the	DEF
books	books	CON
that	that	AND
he	he	PRO
has	has	ENS
are	are	ENS
English	English	CON
novels	novels	CON
.	.	NIL

# newdoc id = p44/d0912
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I slapped his face.
I	I	PRO
slapped	slapped	EPS
his	his	HAS
face	face	CON
.	.	NIL

# newdoc id = p44/d1307
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Eight rangers were examined.
Eight	Eight	QUC
rangers	rangers	ROL
were	were	PST
examined	examined	EXS
.	.	NIL

# newdoc id = p44/d1383
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = How did Micky Mantle die?
How	How	QUE
did	did	PST
Micky~Mantle	Micky~Mantle	PER
die	die	EXS
?	?	QUE

# newdoc id = p44/d1384
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Who did Scott Bakula play in "American Beauty"?
Who	Who	QUE
did	did	PST
Scott~Bakula	Scott~Bakula	PER
play	play	EXS
in	in	REL
"	"	NIL
American~Beauty	American~Beauty	ART
"	"	NIL
?	?	QUE

# newdoc id = p44/d1385
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What is the name of a newborn swan?
What	What	QUE
is	is	ENS
the	the	DEF
name	name	CON
of	of	REL
a	a	DIS
newborn	newborn	IST
swan	swan	CON
?	?	QUE

# newdoc id = p44/d1387
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What country invaded Kuwait in 1990?
What	What	QUE
country	country	CON
invaded	invaded	EPS
Kuwait	Kuwait	GPE
in	in	REL
1990	1990	YOC
?	?	QUE

# newdoc id = p44/d1390
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = In what year did Ross Perot run for president?
In	In	REL
what	what	QUE
year	year	CON
did	did	PST
Ross~Perot	Ross~Perot	PER
run	run	EXS
for	for	REL
president	president	ROL
?	?	QUE

# newdoc id = p44/d1392
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = How did George Washington die?
How	How	QUE
did	did	PST
George~Washington	George~Washington	PER
die	die	EXS
?	?	QUE

# newdoc id = p44/d1394
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What country did Panama gain its independence from?
What	What	QUE
country	country	CON
did	did	PST
Panama	Panama	GPE
gain	gain	EXS
its	its	HAS
independence	independence	CON
from	from	REL
?	?	QUE

# newdoc id = p44/d1396
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Who is Ari Fleischer?
Who	Who	QUE
is	is	ENS
Ari~Fleischer	Ari~Fleischer	PER
?	?	QUE

# newdoc id = p44/d1443
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Dr. Patterson, a psychologist, tested Koko's intelligence.
Dr.	Dr.	ROL
Patterson	Patterson	PER
,	,	EQU
a	a	DIS
psychologist	psychologist	ROL
,	,	NIL
tested	tested	EPS
Koko	Koko	NTH
's	's	HAS
intelligence	intelligence	CON
.	.	NIL

# newdoc id = p44/d1445
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom began to sob.
Tom	Tom	PER
began	began	EPS
to	to	NIL
sob	sob	EXS
.	.	NIL

# newdoc id = p44/d1464
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom understood.
Tom	Tom	PER
understood	understood	EPS
.	.	NIL

# newdoc id = p44/d1471
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I don't speak Spanish.
I	I	PRO
do	do	NOW
n't	n't	NOT
speak	speak	EXS
Spanish	Spanish	CON
.	.	NIL

# newdoc id = p44/d1485
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom grimaced.
Tom	Tom	PER
grimaced	grimaced	EPS
.	.	NIL

# newdoc id = p44/d1488
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I got sick riding the roller coaster with the loop-the-loop.
I	I	PRO
got	got	PST
sick	sick	IST
riding	riding	EXG
the	the	DEF
roller~coaster	roller~coaster	CON
with	with	REL
the	the	DEF
loop-the-loop	loop-the-loop	CON
.	.	NIL

# newdoc id = p44/d1534
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I saw a hippo at the zoo.
I	I	PRO
saw	saw	EPS
a	a	DIS
hippo	hippo	CON
at	at	REL
the	the	DEF
zoo	zoo	CON
.	.	NIL

# newdoc id = p44/d1558
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He speaks Chinese.
He	He	PRO
speaks	speaks	ENS
Chinese	Chinese	CON
.	.	NIL

# newdoc id = p44/d1559
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I apologize to everyone.
I	I	PRO
apologize	apologize	ENS
to	to	REL
everyone	everyone	AND
.	.	NIL

# newdoc id = p44/d1565
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He was very scared when he saw this big snake.
He	He	PRO
was	was	PST
very	very	INT
scared	scared	IST
when	when	REL
he	he	PRO
saw	saw	EPS
this	this	PRX
big	big	DEG
snake	snake	CON
.	.	NIL

# newdoc id = p44/d1592
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Everyone will be hungry.
Everyone	Everyone	AND
will	will	FUT
be	be	NIL
hungry	hungry	IST
.	.	NIL

# newdoc id = p44/d1621
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = There are mosquitoes even in Greece.
There	There	NIL
are	are	ENS
mosquitoes	mosquitoes	CON
even	even	EMP
in	in	REL
Greece	Greece	GPE
.	.	NIL

# newdoc id = p44/d1635
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He was standing by the gate with his hand in his pocket.
He	He	PRO
was	was	PST
standing	standing	EXG
by	by	REL
the	the	DEF
gate	gate	CON
with	with	REL
his	his	HAS
hand	hand	CON
in	in	REL
his	his	HAS
pocket	pocket	CON
.	.	NIL

# newdoc id = p44/d1661
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Do you have a mobile phone?
Do	Do	NOW
you	you	PRO
have	have	EXS
a	a	DIS
mobile~phone	mobile~phone	CON
?	?	QUE

# newdoc id = p44/d1676
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'm very happy.
I	I	PRO
'm	'm	NOW
very	very	INT
happy	happy	IST
.	.	NIL

# newdoc id = p44/d1679
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom is not always busy.
Tom	Tom	PER
is	is	NOW
not	not	NOT
always	always	AND
busy	busy	IST
.	.	NIL

# newdoc id = p44/d1710
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He threw a stone at the big dog.
He	He	PRO
threw	threw	EPS
a	a	DIS
stone	stone	CON
at	at	REL
the	the	DEF
big	big	DEG
dog	dog	CON
.	.	NIL

# newdoc id = p44/d1742
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = A bright red ladybug landed on my fingertip.
A	A	DIS
bright~red	bright~red	COL
ladybug	ladybug	CON
landed	landed	EPS
on	on	REL
my	my	HAS
fingertip	fingertip	CON
.	.	NIL

# newdoc id = p44/d1759
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Are all the doors locked?
Are	Are	NOW
all	all	AND
the	the	DEF
doors	doors	CON
locked	locked	EXS
?	?	QUE

# newdoc id = p44/d1769
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom extinguished his torch.
Tom	Tom	PER
extinguished	extinguished	EPS
his	his	HAS
torch	torch	CON
.	.	NIL

# newdoc id = p44/d1906
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She danced with him.
She	She	PRO
danced	danced	EPS
with	with	REL
him	him	PRO
.	.	NIL

# newdoc id = p44/d1911
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She's jealous and irrational.
She	She	PRO
's	's	NOW
jealous	jealous	IST
and	and	AND
irrational	irrational	IST
.	.	NIL

# newdoc id = p44/d1939
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She is expecting a child.
She	She	PRO
is	is	NOW
expecting	expecting	EXG
a	a	DIS
child	child	CON
.	.	NIL

# newdoc id = p44/d1943
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = This box is made of tin.
This	This	PRX
box	box	CON
is	is	NOW
made	made	EXS
of	of	REL
tin	tin	CON
.	.	NIL

# newdoc id = p44/d1964
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I love blackberries.
I	I	PRO
love	love	ENS
blackberries	blackberries	CON
.	.	NIL

# newdoc id = p44/d1979
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Peter is buying a tomcat.
Peter	Peter	PER
is	is	NOW
buying	buying	EXG
a	a	DIS
tomcat	tomcat	CON
.	.	NIL

# newdoc id = p44/d1998
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The squirrel ate out of her hand.
The	The	DEF
squirrel	squirrel	CON
ate	ate	EPS
out~of	out~of	REL
her	her	HAS
hand	hand	CON
.	.	NIL

# newdoc id = p44/d2031
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = It's snowing in Paris.
It	It	NIL
's	's	NOW
snowing	snowing	EXG
in	in	REL
Paris	Paris	GPE
.	.	NIL

# newdoc id = p44/d2050
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom knocked on the door, but got no response.
Tom	Tom	PER
knocked	knocked	EPS
on	on	REL
the	the	DEF
door	door	CON
,	,	NIL
but	but	BUT
got	got	EPS
no	no	NOT
response	response	CON
.	.	NIL

# newdoc id = p44/d2063
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He pretended that he was a lawyer.
He	He	PRO
pretended	pretended	EPS
that	that	SUB
he	he	PRO
was	was	PST
a	a	DIS
lawyer	lawyer	ROL
.	.	NIL

# newdoc id = p44/d2065
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The flood of 1342 was the biggest deluge in the history of central Europe.
The	The	DEF
flood	flood	CON
of	of	REL
1342	1342	YOC
was	was	EPS
the	the	DEF
biggest	biggest	TOP
deluge	deluge	CON
in	in	REL
the	the	DEF
history	history	CON
of	of	REL
central	central	IST
Europe	Europe	GPE
.	.	NIL

# newdoc id = p44/d2089
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The baseball game ended in a draw.
The	The	DEF
baseball~game	baseball~game	CON
ended	ended	EPS
in	in	REL
a	a	DIS
draw	draw	CON
.	.	NIL

# newdoc id = p44/d2100
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom renewed his driver's license three weeks ago.
Tom	Tom	PER
renewed	renewed	EPS
his	his	HAS
driver's~license	driver's~license	CON
three	three	QUC
weeks	weeks	UOM
ago	ago	PST
.	.	NIL

# newdoc id = p44/d2132
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He sent me some American magazines.
He	He	PRO
sent	sent	EPS
me	me	PRO
some	some	DIS
American	American	GPO
magazines	magazines	CON
.	.	NIL

# newdoc id = p44/d2158
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The police arrested the burglar.
The	The	DEF
police	police	CON
arrested	arrested	EPS
the	the	DEF
burglar	burglar	ROL
.	.	NIL

# newdoc id = p44/d2173
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He is rather poor at tennis.
He	He	PRO
is	is	NOW
rather	rather	INT
poor	poor	IST
at	at	REL
tennis	tennis	CON
.	.	NIL

# newdoc id = p44/d2174
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She used a fake I.D.
She	She	PRO
used	used	EPS
a	a	DIS
fake	fake	IST
I.D.	I.D.	CON

# newdoc id = p44/d2185
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He chopped the carrot.
He	He	PRO
chopped	chopped	EPS
the	the	DEF
carrot	carrot	CON
.	.	NIL

# newdoc id = p44/d2187
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He drives a truck.
He	He	PRO
drives	drives	ENS
a	a	DIS
truck	truck	CON
.	.	NIL

# newdoc id = p44/d2206
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Saturn has rings.
Saturn	Saturn	NTH
has	has	ENS
rings	rings	CON
.	.	NIL

# newdoc id = p44/d2221
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom had no hat on.
Tom	Tom	PER
had	had	EPS
no	no	NOT
hat	hat	CON
on	on	REL
.	.	NIL

# newdoc id = p44/d2224
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What's the spelling of your family name?
What	What	QUE
's	's	ENS
the	the	DEF
spelling	spelling	CON
of	of	REL
your	your	HAS
family~name	family~name	CON
?	?	QUE

# newdoc id = p44/d2231
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The singer is very popular with teenage fans.
The	The	DEF
singer	singer	ROL
is	is	NOW
very	very	INT
popular	popular	IST
with	with	REL
teenage	teenage	IST
fans	fans	ROL
.	.	NIL

# newdoc id = p44/d2245
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He painted the door blue.
He	He	PRO
painted	painted	EPS
the	the	DEF
door	door	CON
blue	blue	COL
.	.	NIL

# newdoc id = p44/d2339
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The park benches were all occupied.
The	The	DEF
park~benches	park~benches	CON
were	were	PST
all	all	AND
occupied	occupied	IST
.	.	NIL

# newdoc id = p44/d2373
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He wrote the score of the opera.
He	He	PRO
wrote	wrote	EPS
the	the	DEF
score	score	CON
of	of	REL
the	the	DEF
opera	opera	CON
.	.	NIL

# newdoc id = p44/d2386
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I like outdoor sports, such as baseball, tennis and soccer.
I	I	PRO
like	like	ENS
outdoor~sports	outdoor~sports	CON
,	,	NIL
such~as	such~as	REL
baseball	baseball	CON
,	,	NIL
tennis	tennis	CON
and	and	GRP
soccer	soccer	CON
.	.	NIL

# newdoc id = p44/d2390
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom talks to everybody.
Tom	Tom	PER
talks	talks	ENS
to	to	REL
everybody	everybody	AND
.	.	NIL

# newdoc id = p44/d2394
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = How many people died in the earthquake?
How	How	QUE
many	many	QUV
people	people	CON
died	died	EPS
in	in	REL
the	the	DEF
earthquake	earthquake	CON
?	?	QUE

# newdoc id = p44/d2405
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The Sun smiled through the window every morning.
The	The	DEF
Sun	Sun	CON
smiled	smiled	EPS
through	through	REL
the	the	DEF
window	window	CON
every	every	AND
morning	morning	CON
.	.	NIL

# newdoc id = p44/d2443
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = A cat abhors a vacuum.
A	A	AND
cat	cat	CON
abhors	abhors	ENS
a	a	DIS
vacuum	vacuum	CON
.	.	NIL

# newdoc id = p44/d2454
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He paid a bill.
He	He	PRO
paid	paid	EPS
a	a	DIS
bill	bill	CON
.	.	NIL

# newdoc id = p44/d2463
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = You’ve had eleven bottles of beer!
You	You	PRO
’ve	’ve	NOW
had	had	EXT
eleven	eleven	QUC
bottles	bottles	CON
of	of	AND
beer	beer	CON
!	!	EMP

# newdoc id = p44/d2494
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = We estimated the damage at 1000 dollars.
We	We	PRO
estimated	estimated	EPS
the	the	DEF
damage	damage	CON
at	at	REL
1000	1000	QUC
dollars	dollars	UOM
.	.	NIL

# newdoc id = p44/d2496
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I crossed the river by boat.
I	I	PRO
crossed	crossed	EPS
the	the	DEF
river	river	CON
by	by	REL
boat	boat	CON
.	.	NIL

# newdoc id = p44/d2536
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The station is two miles away.
The	The	DEF
station	station	CON
is	is	NOW
two	two	QUC
miles	miles	UOM
away	away	DEG
.	.	NIL

# newdoc id = p44/d2573
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = We'll eat at six o'clock.
We	We	PRO
'll	'll	FUT
eat	eat	EXS
at	at	REL
six~o'clock	six~o'clock	CLO
.	.	NIL

# newdoc id = p44/d2618
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The ball rolled on the ground towards me.
The	The	DEF
ball	ball	CON
rolled	rolled	EPS
on	on	REL
the	the	DEF
ground	ground	CON
towards	towards	REL
me	me	PRO
.	.	NIL

# newdoc id = p44/d2668
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Football is like a religion in this country.
Football	Football	CON
is	is	NOW
like	like	IST
a	a	DIS
religion	religion	CON
in	in	REL
this	this	PRX
country	country	CON
.	.	NIL

# newdoc id = p44/d2689
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I am massaging my foot.
I	I	PRO
am	am	NOW
massaging	massaging	EXG
my	my	HAS
foot	foot	CON
.	.	NIL

# newdoc id = p44/d2693
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He's on the dance floor.
He	He	PRO
's	's	ENS
on	on	REL
the	the	DEF
dance~floor	dance~floor	CON
.	.	NIL

# newdoc id = p44/d2717
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I wear boxers.
I	I	PRO
wear	wear	ENS
boxers	boxers	CON
.	.	NIL

# newdoc id = p44/d2728
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I smell bacon.
I	I	PRO
smell	smell	ENS
bacon	bacon	CON
.	.	NIL

# newdoc id = p44/d2753
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = All of us stared at her.
All	All	AND
of	of	REL
us	us	PRO
stared	stared	EPS
at	at	REL
her	her	PRO
.	.	NIL

# newdoc id = p44/d2835
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = That singer is very popular with people in general.
That	That	DST
singer	singer	ROL
is	is	NOW
very	very	INT
popular	popular	IST
with	with	REL
people	people	CON
in	in	REL
general	general	CON
.	.	NIL

# newdoc id = p44/d2912
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I met Martin at the park.
I	I	PRO
met	met	EPS
Martin	Martin	PER
at	at	REL
the	the	DEF
park	park	CON
.	.	NIL

# newdoc id = p44/d2924
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Whenever I meet her, she smiles at me.
Whenever	Whenever	IMP
I	I	PRO
meet	meet	EXS
her	her	PRO
,	,	NIL
she	she	PRO
smiles	smiles	ENS
at	at	REL
me	me	PRO
.	.	NIL

# newdoc id = p44/d2966
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Mary wiped the sweat from her forehead.
Mary	Mary	PER
wiped	wiped	EPS
the	the	DEF
sweat	sweat	CON
from	from	REL
her	her	HAS
forehead	forehead	CON
.	.	NIL

# newdoc id = p44/d2971
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom is folding his clothes.
Tom	Tom	PER
is	is	NOW
folding	folding	EXG
his	his	HAS
clothes	clothes	CON
.	.	NIL

# newdoc id = p44/d2988
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I clean my teeth with a toothbrush.
I	I	PRO
clean	clean	ENS
my	my	HAS
teeth	teeth	CON
with	with	REL
a	a	DIS
toothbrush	toothbrush	CON
.	.	NIL

# newdoc id = p44/d3021
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The chest is three feet wide.
The	The	DEF
chest	chest	CON
is	is	NOW
three	three	QUC
feet	feet	UOM
wide	wide	DEG
.	.	NIL

# newdoc id = p44/d3033
# layer:statuses =
